co_ref,total_spent,avg_payment,num_payments,last_payment_date,cutoff_date,days_since_last_payment,payments_last_30,payments_last_90,spend_last_30,spend_last_90,payment_trend,tenure_years,payment_method_mode
AA0794,2927,975.6666666666666,3,2025-01-10,2025-06-26,167,0.0,0.0,0.0,0.0,0.0,4.0,CARD
AA0794,2927,975.6666666666666,3,2025-01-10,2025-06-26,167,0.0,0.0,0.0,0.0,0.0,3.0,CARD
AA0794,2927,975.6666666666666,3,2025-01-10,2025-06-26,167,0.0,0.0,0.0,0.0,0.0,2.0,CARD
AA0794,2927,975.6666666666666,3,2025-01-10,2024-06-26,-198,0.0,0.0,0.0,0.0,0.0,4.0,CARD
AA0794,2927,975.6666666666666,3,2025-01-10,2024-06-26,-198,0.0,0.0,0.0,0.0,0.0,3.0,CARD
AA0794,2927,975.6666666666666,3,2025-01-10,2024-06-26,-198,0.0,0.0,0.0,0.0,0.0,2.0,CARD
AA0794,2927,975.6666666666666,3,2025-01-10,2023-06-26,-564,0.0,0.0,0.0,0.0,0.0,4.0,CARD
AA0794,2927,975.6666666666666,3,2025-01-10,2023-06-26,-564,0.0,0.0,0.0,0.0,0.0,3.0,CARD
AA0794,2927,975.6666666666666,3,2025-01-10,2023-06-26,-564,0.0,0.0,0.0,0.0,0.0,2.0,CARD
AA1653,1468,734.0,2,2025-01-11,2025-02-25,45,0.0,2.0,0.0,1468.0,0.0,2.0,CARD
AA1653,1468,734.0,2,2025-01-11,2025-02-25,45,0.0,2.0,0.0,1468.0,0.0,1.0,CARD
AA1653,1468,734.0,2,2025-01-11,2024-02-26,-320,0.0,2.0,0.0,1468.0,0.0,2.0,CARD
AA1653,1468,734.0,2,2025-01-11,2024-02-26,-320,0.0,2.0,0.0,1468.0,0.0,1.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2025-09-20,-106,0.0,0.0,0.0,0.0,0.0,7.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2025-09-20,-106,0.0,0.0,0.0,0.0,0.0,8.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2025-09-20,-106,0.0,0.0,0.0,0.0,0.0,6.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2025-09-20,-106,0.0,0.0,0.0,0.0,0.0,5.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2026-09-20,259,0.0,0.0,0.0,0.0,0.0,7.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2026-09-20,259,0.0,0.0,0.0,0.0,0.0,8.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2026-09-20,259,0.0,0.0,0.0,0.0,0.0,6.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2026-09-20,259,0.0,0.0,0.0,0.0,0.0,5.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2024-09-20,-471,0.0,0.0,0.0,0.0,0.0,7.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2024-09-20,-471,0.0,0.0,0.0,0.0,0.0,8.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2024-09-20,-471,0.0,0.0,0.0,0.0,0.0,6.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2024-09-20,-471,0.0,0.0,0.0,0.0,0.0,5.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2023-09-20,-837,0.0,0.0,0.0,0.0,0.0,7.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2023-09-20,-837,0.0,0.0,0.0,0.0,0.0,8.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2023-09-20,-837,0.0,0.0,0.0,0.0,0.0,6.0,CARD
AA1742,4436,1109.0,4,2026-01-04,2023-09-20,-837,0.0,0.0,0.0,0.0,0.0,5.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2025-04-20,-259,0.0,0.0,0.0,0.0,0.0,3.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2025-04-20,-259,0.0,0.0,0.0,0.0,0.0,4.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2025-04-20,-259,0.0,0.0,0.0,0.0,0.0,2.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2025-04-20,-259,0.0,0.0,0.0,0.0,0.0,1.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2026-04-20,106,0.0,0.0,0.0,0.0,0.0,3.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2026-04-20,106,0.0,0.0,0.0,0.0,0.0,4.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2026-04-20,106,0.0,0.0,0.0,0.0,0.0,2.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2026-04-20,106,0.0,0.0,0.0,0.0,0.0,1.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2024-04-20,-624,0.0,0.0,0.0,0.0,0.0,3.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2024-04-20,-624,0.0,0.0,0.0,0.0,0.0,4.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2024-04-20,-624,0.0,0.0,0.0,0.0,0.0,2.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2024-04-20,-624,0.0,0.0,0.0,0.0,0.0,1.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2023-04-20,-990,0.0,0.0,0.0,0.0,0.0,3.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2023-04-20,-990,0.0,0.0,0.0,0.0,0.0,4.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2023-04-20,-990,0.0,0.0,0.0,0.0,0.0,2.0,CARD
AA2716,4931,1232.75,4,2026-01-04,2023-04-20,-990,0.0,0.0,0.0,0.0,0.0,1.0,CARD
AA3525,749,749.0,1,2023-01-12,2023-06-28,167,0.0,0.0,0.0,0.0,0.0,7.0,CARD
AA3576,1044,1044.0,1,2023-01-05,2023-07-22,198,0.0,0.0,0.0,0.0,0.0,16.0,CARD
AA3771,764,764.0,1,2026-01-03,2026-10-20,290,0.0,0.0,0.0,0.0,0.0,1.0,UNKNOWN
AA4831,5351,1337.75,4,2026-01-04,2025-02-18,-320,0.0,4.0,0.0,5351.0,0.0,8.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2025-02-18,-320,0.0,4.0,0.0,5351.0,0.0,9.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2025-02-18,-320,0.0,4.0,0.0,5351.0,0.0,7.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2025-02-18,-320,0.0,4.0,0.0,5351.0,0.0,6.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2026-02-18,45,0.0,4.0,0.0,5351.0,0.0,8.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2026-02-18,45,0.0,4.0,0.0,5351.0,0.0,9.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2026-02-18,45,0.0,4.0,0.0,5351.0,0.0,7.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2026-02-18,45,0.0,4.0,0.0,5351.0,0.0,6.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2024-02-19,-685,0.0,4.0,0.0,5351.0,0.0,8.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2024-02-19,-685,0.0,4.0,0.0,5351.0,0.0,9.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2024-02-19,-685,0.0,4.0,0.0,5351.0,0.0,7.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2024-02-19,-685,0.0,4.0,0.0,5351.0,0.0,6.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2023-02-18,-1051,0.0,4.0,0.0,5351.0,0.0,8.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2023-02-18,-1051,0.0,4.0,0.0,5351.0,0.0,9.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2023-02-18,-1051,0.0,4.0,0.0,5351.0,0.0,7.0,CARD
AA4831,5351,1337.75,4,2026-01-04,2023-02-18,-1051,0.0,4.0,0.0,5351.0,0.0,6.0,CARD
AA5011,639,639.0,1,2023-01-06,2023-06-22,167,0.0,0.0,0.0,0.0,0.0,1.0,CARD
AA5736,5422,1807.3333333333333,3,2025-01-08,2025-02-22,45,0.0,3.0,0.0,5422.0,0.0,18.0,BACS
AA5736,5422,1807.3333333333333,3,2025-01-08,2025-02-22,45,0.0,3.0,0.0,5422.0,0.0,17.0,BACS
AA5736,5422,1807.3333333333333,3,2025-01-08,2025-02-22,45,0.0,3.0,0.0,5422.0,0.0,16.0,BACS
AA5736,5422,1807.3333333333333,3,2025-01-08,2024-02-23,-320,0.0,3.0,0.0,5422.0,0.0,18.0,BACS
AA5736,5422,1807.3333333333333,3,2025-01-08,2024-02-23,-320,0.0,3.0,0.0,5422.0,0.0,17.0,BACS
AA5736,5422,1807.3333333333333,3,2025-01-08,2024-02-23,-320,0.0,3.0,0.0,5422.0,0.0,16.0,BACS
AA5736,5422,1807.3333333333333,3,2025-01-08,2023-02-22,-686,0.0,3.0,0.0,5422.0,0.0,18.0,BACS
