co_ref,total_cc_calls,last_cc_call,cutoff_date,days_since_last_cc_call,cc_calls_last_7,cc_calls_last_30,total_complaints,customer_issues,financial_issues,pricing_mentions,avg_cc_sentiment,repeat_call_ratio,high_call_volume
AB1212,1,2025-01-12,2025-10-26,287,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0
AB2997,1,2025-02-04,2025-09-25,233,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AC3520,2,2025-05-11,2025-07-18,68,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AC3520,2,2025-05-11,2026-07-18,433,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AC5613,1,2025-10-02,2025-11-28,57,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AC5722,6,2025-11-02,2025-11-19,17,0.0,2.0,0.0,0.0,0.0,0.0,90.0,0.0,1
AC5722,6,2025-11-02,2026-11-19,382,0.0,2.0,0.0,0.0,0.0,0.0,90.0,0.0,1
AD0243,1,2025-11-11,2026-08-18,280,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AD0668,4,2024-12-12,2025-08-22,253,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1
AD0668,4,2024-12-12,2026-08-22,618,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1
AD2371,1,2025-07-01,2025-07-29,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AD3672,3,2024-04-11,2026-11-17,950,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AD3672,3,2024-04-11,2025-11-17,585,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AD3672,3,2024-04-11,2024-11-17,220,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AD4863,1,2025-06-10,2025-08-27,78,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AE4321,1,2025-08-09,2025-10-27,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AE5853,3,2025-03-04,2025-09-27,207,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0
AF3897,2,2024-04-12,2025-07-24,468,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AF3897,2,2024-04-12,2024-07-24,103,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AF5367,1,2025-12-12,2026-04-20,129,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0
AF9548,3,2025-06-11,2025-11-22,164,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0
AF9548,3,2025-06-11,2024-11-22,-201,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0
AG0573,1,2025-01-04,2025-05-27,143,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AG3199,2,2025-01-10,2025-11-19,313,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0
AG3199,2,2025-01-10,2026-11-19,678,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0
AG4875,1,2025-01-09,2025-05-28,139,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AG6731,1,2025-01-04,2025-05-28,144,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0
AG6811,3,2024-04-11,2026-05-19,768,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AG6811,3,2024-04-11,2025-05-19,403,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AG6811,3,2024-04-11,2024-05-19,38,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
AG8779,1,2024-08-11,2025-07-26,349,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AG9655,2,2024-11-12,2024-12-26,44,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AH5662,1,2026-06-01,2026-10-19,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AH6048,3,2025-10-12,2026-09-17,340,0.0,0.0,0.0,0.0,0.0,0.0,56.666666666666664,0.0,0
AH9688,2,2024-05-11,2024-05-28,17,0.0,1.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AH9688,2,2024-05-11,2025-05-28,382,0.0,1.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AH9811,1,2025-07-08,2025-11-25,140,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0
AI6242,1,2025-08-05,2025-08-29,24,0.0,1.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AJ2006,1,2025-01-10,2025-02-24,45,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AJ2669,3,2025-02-10,2025-11-24,287,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0,0
