co_ref,total_interactions,interactions_14_days,pre_renewal_interactions,last_moment_engagement_ratio,complaints,negative_experience,support_issues,financial_stress,price_dissatisfaction,avg_sentiment_x,avg_sentiment_y,avg_sentiment,agent_followups,engagement_score
AA0750,4,0,0,0.0,NoNoNoNo,YesYesNoNo,YesYesNoNo,Not DiscussedNot DiscussedNoNo,Not DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,6.0,0.0
AA0794,9,3,3,0.3,NoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,9.0,0.0
AA1653,6,2,0,0.2857142857142857,YesYesNoNoNoNo,YesYesNoNoNot DiscussedNot Discussed,YesYesNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,20.0,20.0,20.0,6.0,0.0
AA1742,8,4,0,0.4444444444444444,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,NoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,12.0,0.0
AA2716,8,0,0,0.0,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNo,NoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,8.0,0.0
AA4831,8,0,4,0.0,NoNoNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,0.0,0.0
AA5736,12,3,3,0.23076923076923078,NoNoNoNoNoNoNoNoNoNoNoNo,YesYesYesNoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNoNoNoNoNo,YesYesYesNoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,YesYesYesYesYesYesNoNoNoNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,12.0,0.0
AA6798,9,0,3,0.0,NoNoNoNoNoNoNoNoNo,NoNoNoNot DiscussedNot DiscussedNot DiscussedNoNoNo,NoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,NoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,63.333333333333336,63.333333333333336,63.333333333333336,12.0,0.0
AA6838,12,3,3,0.23076923076923078,NoNoNoNoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,NoNoNoNoNoNoNoNoNoNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNoNoNoNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,70.0,70.0,70.0,9.0,0.0
AA7026,9,3,0,0.3,YesYesYesNoNoNoNoNoNo,YesYesYesNoNoNoNoNoNo,YesYesYesNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNoNoNoNoNoNo,50.0,50.0,50.0,0.0,0.0
AA7062,2,1,0,0.3333333333333333,NoNo,YesNo,NoNo,YesNo,Not DiscussedNot Discussed,35.0,35.0,35.0,8.0,0.0
AA7637,24,8,4,0.32,No_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNo_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNoNoNoNo,No_EmailNo_EmailNo_EmailNo_EmailYesYesYesYesNo_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,No_EmailNo_EmailNo_EmailNo_EmailYesYesYesYesNo_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,No_EmailNo_EmailNo_EmailNo_EmailNot DiscussedNot DiscussedNot DiscussedNot DiscussedNo_EmailNo_EmailNo_EmailNo_EmailYesYesYesYesNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,No_EmailNo_EmailNo_EmailNo_EmailNot DiscussedNot DiscussedNot DiscussedNot DiscussedNo_EmailNo_EmailNo_EmailNo_EmailNoNoNoNoNoNoNoNoNot DiscussedNot DiscussedNot DiscussedNot Discussed,35.0,35.0,35.0,4.0,0.0
AA9073,12,3,3,0.23076923076923078,NoNoNoNoNoNoNoNoNoNoNoNo,YesYesYesYesYesYesNot DiscussedNot DiscussedNot DiscussedNoNoNo,NoNoNoYesYesYesNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNoNoNoNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedYesYesYesNoNoNoNot DiscussedNot DiscussedNot Discussed,40.0,40.0,40.0,12.0,0.0
AA9666,9,0,3,0.0,NoNoNoNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedNoNoNoNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot Discussed,50.0,50.0,50.0,12.0,0.0
