co_ref,total_calls,last_call_date,cutoff_date,days_since_last_call,calls_last_7,calls_last_14,calls_last_30,serious_complaints,switch_intent,cancel_intent,price_discussions,discount_requests,recent_call_ratio
AA1653,1,2024-10-16,2025-02-25,132,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
AA1742,8,2025-03-24,2025-09-20,180,0.0,0.0,0.0,NoNoNoUnknownUnknownUnknownUnknownUnknown,NoNoNoUnknownUnknownUnknownNoNo,RenewedRenewedRenewedUnknownUnknownUnknownNot DiscussedNot Discussed,NoNoNoUnknownUnknownUnknownNoNo,NoNoNoUnknownUnknownUnknownNoNo,0.0
AA1742,8,2025-03-24,2026-09-20,545,0.0,0.0,0.0,NoNoNoUnknownUnknownUnknownUnknownUnknown,NoNoNoUnknownUnknownUnknownNoNo,RenewedRenewedRenewedUnknownUnknownUnknownNot DiscussedNot Discussed,NoNoNoUnknownUnknownUnknownNoNo,NoNoNoUnknownUnknownUnknownNoNo,0.0
AA1742,8,2025-03-24,2024-09-20,-185,0.0,0.0,0.0,NoNoNoUnknownUnknownUnknownUnknownUnknown,NoNoNoUnknownUnknownUnknownNoNo,RenewedRenewedRenewedUnknownUnknownUnknownNot DiscussedNot Discussed,NoNoNoUnknownUnknownUnknownNoNo,NoNoNoUnknownUnknownUnknownNoNo,0.0
AA2716,18,2025-04-24,2025-04-20,-4,1.0,4.0,5.0,NoNoNoNoNoNoNoNoNoNoNoUnknownUnknownNoNoUnknownUnknownUnknown,NoNoNoNoNoNoNoNoNoNoNoUnknownUnknownNoNoUnknownUnknownUnknown,RenewedRenewedRenewedRenewedRenewedRenewedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedUnknownUnknownRenewedRenewedUnknownUnknownUnknown,NoNoNoNoNoNoNoNoNoNoNoUnknownUnknownNoNoUnknownUnknownUnknown,NoNoNoNoNoNoNoNoNoNoNoUnknownUnknownNoNoUnknownUnknownUnknown,0.05263157894736842
AA2716,18,2025-04-24,2026-04-20,361,1.0,4.0,5.0,NoNoNoNoNoNoNoNoNoNoNoUnknownUnknownNoNoUnknownUnknownUnknown,NoNoNoNoNoNoNoNoNoNoNoUnknownUnknownNoNoUnknownUnknownUnknown,RenewedRenewedRenewedRenewedRenewedRenewedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedUnknownUnknownRenewedRenewedUnknownUnknownUnknown,NoNoNoNoNoNoNoNoNoNoNoUnknownUnknownNoNoUnknownUnknownUnknown,NoNoNoNoNoNoNoNoNoNoNoUnknownUnknownNoNoUnknownUnknownUnknown,0.05263157894736842
AA2716,18,2025-04-24,2024-04-20,-369,1.0,4.0,5.0,NoNoNoNoNoNoNoNoNoNoNoUnknownUnknownNoNoUnknownUnknownUnknown,NoNoNoNoNoNoNoNoNoNoNoUnknownUnknownNoNoUnknownUnknownUnknown,RenewedRenewedRenewedRenewedRenewedRenewedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedUnknownUnknownRenewedRenewedUnknownUnknownUnknown,NoNoNoNoNoNoNoNoNoNoNoUnknownUnknownNoNoUnknownUnknownUnknown,NoNoNoNoNoNoNoNoNoNoNoUnknownUnknownNoNoUnknownUnknownUnknown,0.05263157894736842
AA5736,5,2025-02-05,2025-02-22,17,0.0,0.0,2.0,NoNoNoNoNo,NoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedRenewedNot Discussed,NoNoNoNoNo,NoNoNoNoNo,0.0
AA6798,2,2024-11-05,2025-01-29,85,0.0,0.0,0.0,NoNo,NoNo,RenewedNot Discussed,NoNo,NoNo,0.0
AA6838,2,2024-11-25,2025-05-29,185,0.0,0.0,0.0,UnknownNo,UnknownNo,UnknownNot Discussed,UnknownNo,UnknownNo,0.0
AA7026,3,2024-10-07,2025-06-26,262,0.0,0.0,0.0,NoNoNo,NoNoNo,Not DiscussedRenewedRenewed,NoNoNo,NoNoNo,0.0
AA7062,3,2025-04-22,2025-07-22,91,0.0,0.0,0.0,UnknownNoUnknown,UnknownNoUnknown,UnknownDesired to CancelUnknown,UnknownNoUnknown,UnknownNoUnknown,0.0
AA7637,8,2025-02-05,2025-03-19,42,0.0,0.0,0.0,NoNoUnknownUnknownNoNoNoNo,NoNoUnknownUnknownNoNoNoNo,Not DiscussedNot DiscussedUnknownUnknownNot DiscussedNot DiscussedNot DiscussedNot Discussed,NoNoUnknownUnknownNoNoNoNo,NoNoUnknownUnknownNoNoNoNo,0.0
AA7637,8,2025-02-05,2026-03-19,407,0.0,0.0,0.0,NoNoUnknownUnknownNoNoNoNo,NoNoUnknownUnknownNoNoNoNo,Not DiscussedNot DiscussedUnknownUnknownNot DiscussedNot DiscussedNot DiscussedNot Discussed,NoNoUnknownUnknownNoNoNoNo,NoNoUnknownUnknownNoNoNoNo,0.0
AA9073,9,2025-09-18,2025-10-26,38,0.0,0.0,0.0,NoNoNoNoNoNoUnknownNoNo,NoNoNoNoNoNoUnknownNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedUnknownRenewedNot Discussed,NoNoNoNoNoNoUnknownNoNo,NoNoNoNoNoNoUnknownNoNo,0.0
AA9073,9,2025-09-18,2024-10-26,-327,0.0,0.0,0.0,NoNoNoNoNoNoUnknownNoNo,NoNoNoNoNoNoUnknownNoNo,Not DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedNot DiscussedUnknownRenewedNot Discussed,NoNoNoNoNoNoUnknownNoNo,NoNoNoNoNoNoUnknownNoNo,0.0
AB0551,4,2025-03-11,2025-10-20,223,0.0,0.0,0.0,UnknownUnknownUnknownUnknown,UnknownUnknownNoNo,UnknownUnknownRenewedRenewed,UnknownUnknownNoNo,UnknownUnknownNoNo,0.0
AB0551,4,2025-03-11,2026-10-20,588,0.0,0.0,0.0,UnknownUnknownUnknownUnknown,UnknownUnknownNoNo,UnknownUnknownRenewedRenewed,UnknownUnknownNoNo,UnknownUnknownNoNo,0.0
AB0646,5,2025-04-22,2025-04-21,-1,0.0,0.0,0.0,NoNoUnknownUnknownNo,NoNoUnknownUnknownNo,RenewedRenewedUnknownUnknownNot Discussed,NoNoUnknownUnknownNo,NoNoUnknownUnknownNo,0.0
AB0646,5,2025-04-22,2026-04-21,364,0.0,0.0,0.0,NoNoUnknownUnknownNo,NoNoUnknownUnknownNo,RenewedRenewedUnknownUnknownNot Discussed,NoNoUnknownUnknownNo,NoNoUnknownUnknownNo,0.0
AB1212,4,2025-09-11,2025-10-26,45,0.0,0.0,0.0,NoUnknownNoUnknown,NoUnknownNoUnknown,RenewedUnknownNot DiscussedUnknown,NoUnknownNoUnknown,NoUnknownNoUnknown,0.0
AB1895,4,2024-04-25,2024-11-17,206,0.0,0.0,0.0,UnknownUnknownUnknownNo,UnknownUnknownUnknownNo,UnknownUnknownUnknownNot Discussed,UnknownUnknownUnknownNo,UnknownUnknownUnknownNo,0.0
AB2056,3,2024-09-10,2025-02-23,166,0.0,0.0,0.0,UnknownUnknownUnknown,UnknownUnknownUnknown,UnknownUnknownUnknown,UnknownUnknownUnknown,UnknownUnknownUnknown,0.0
AB2658,9,2024-04-18,2025-06-20,428,0.0,0.0,0.0,NoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNoNo,Not DiscussedNot DiscussedNot DiscussedRenewedRenewedRenewedDesired to CancelDesired to CancelDesired to Cancel,NoNoNoNoNoNoNoNoNo,NoNoNoNoNoNoNoNoNo,0.0
