iter	Logloss
0	0.6383688318
1	0.5873692867
2	0.5457991526
3	0.5102663856
4	0.4771557
5	0.4481418232
6	0.4229852251
7	0.4016734323
8	0.3827744086
9	0.3673050348
10	0.3524110753
11	0.338438083
12	0.3263462611
13	0.3165024509
14	0.3072248239
15	0.2992525043
16	0.2908545433
17	0.2839546549
18	0.2787273167
19	0.2738911594
20	0.2689467401
21	0.2650773499
22	0.2617838332
23	0.2578473571
24	0.2549399033
25	0.2518092943
26	0.249714412
27	0.2475564801
28	0.2457646522
29	0.2438964333
30	0.2421675199
31	0.2407397933
32	0.2387220389
33	0.2370937326
34	0.2355985273
35	0.2340918509
36	0.2329196025
37	0.2312485253
38	0.2300455272
39	0.2291608943
40	0.228242495
41	0.2271965906
42	0.2262314406
43	0.2252125163
44	0.224281244
45	0.2236040257
46	0.2230374319
47	0.2224109786
48	0.2214292663
49	0.220781622
50	0.2198267168
51	0.2190968689
52	0.2185876452
53	0.2175337051
54	0.2170085271
55	0.2162987592
56	0.2159601724
57	0.2154815529
58	0.2149600137
59	0.2143542018
60	0.2138164737
61	0.2134435178
62	0.2129139801
63	0.2123776552
64	0.2117498659
65	0.211074695
66	0.2107840032
67	0.2101922838
68	0.2098597006
69	0.2095441274
70	0.2088577417
71	0.2085177343
72	0.2080257514
73	0.2076924319
74	0.20719869
75	0.2066026306
76	0.2061070369
77	0.2056794873
78	0.2053410099
79	0.2050400247
80	0.2047209348
81	0.2044866802
82	0.2039032804
83	0.2035427388
84	0.2032006057
85	0.2028226813
86	0.2024183059
87	0.2021221804
88	0.2017959619
89	0.2015376132
90	0.2013642619
91	0.2010076456
92	0.2004280647
93	0.2000649956
94	0.1997124982
95	0.1993192747
96	0.1990285304
97	0.1988348956
98	0.1985314751
99	0.1983175706
100	0.1979092044
101	0.1976777826
102	0.1972532022
103	0.1967284185
104	0.1963993081
105	0.1961801578
106	0.1959756557
107	0.1956745236
108	0.1953662145
109	0.1950831717
110	0.1947397333
111	0.194463891
112	0.1942035092
113	0.1938353638
114	0.1936039228
115	0.1931849954
116	0.1929421478
117	0.1924976835
118	0.1921938785
119	0.1919579581
120	0.1915740002
121	0.1913315573
122	0.1910586229
123	0.1908302698
124	0.1905968893
125	0.1902313169
126	0.1900673519
127	0.1898288187
128	0.1896348212
129	0.1893587703
130	0.1891208281
131	0.1889284488
132	0.1887941976
133	0.1885947101
134	0.1883270408
135	0.1880696193
136	0.1879076793
137	0.1876861357
138	0.1874190788
139	0.1870350328
