iter	Passed	Remaining
0	12	4474
1	24	4189
2	33	3884
3	46	3991
4	58	4042
5	69	3957
6	80	3948
7	93	4011
8	107	4079
9	119	4078
10	134	4144
11	147	4161
12	163	4229
13	176	4241
14	189	4232
15	200	4184
16	212	4155
17	225	4162
18	238	4153
19	250	4126
20	262	4106
21	274	4097
22	287	4087
23	299	4064
24	313	4074
25	325	4057
26	337	4041
27	354	4077
28	369	4094
29	382	4080
30	393	4053
31	406	4036
32	419	4031
33	433	4025
34	447	4024
35	460	4017
36	473	4004
37	486	3997
38	500	3991
39	513	3977
40	524	3950
41	536	3934
42	549	3926
43	564	3926
44	576	3905
45	588	3886
46	601	3876
47	614	3867
48	627	3853
49	639	3838
50	652	3826
51	665	3814
52	679	3806
53	691	3790
54	702	3766
55	714	3749
56	726	3736
57	738	3719
58	750	3699
59	762	3684
60	775	3675
61	788	3661
62	801	3650
63	812	3633
64	825	3619
65	840	3614
66	851	3598
67	864	3583
68	874	3561
69	885	3540
70	897	3528
71	910	3514
72	922	3502
73	935	3490
74	947	3473
75	959	3458
76	971	3443
77	984	3431
78	994	3413
79	1007	3400
80	1018	3383
81	1028	3362
82	1041	3349
83	1055	3341
84	1068	3330
85	1080	3316
86	1092	3303
87	1104	3287
88	1116	3275
89	1127	3256
90	1138	3239
91	1151	3228
92	1161	3210
93	1172	3194
94	1184	3179
95	1197	3167
96	1207	3149
97	1219	3135
98	1231	3121
99	1241	3102
100	1253	3089
101	1265	3077
102	1276	3061
103	1287	3045
104	1301	3036
105	1312	3021
106	1322	3004
107	1337	2995
108	1351	2988
109	1365	2978
110	1377	2965
111	1388	2950
112	1400	2937
113	1412	2923
114	1423	2908
115	1434	2894
116	1446	2881
117	1458	2867
118	1469	2852
119	1480	2837
120	1492	2825
121	1504	2812
122	1515	2797
123	1528	2785
124	1540	2772
125	1553	2760
126	1563	2745
127	1577	2736
128	1588	2722
129	1601	2710
130	1614	2698
131	1626	2685
132	1639	2675
133	1651	2661
134	1662	2648
135	1675	2636
136	1687	2623
137	1700	2611
138	1715	2603
139	1728	2592
140	1742	2582
141	1757	2573
142	1770	2563
143	1783	2551
144	1795	2539
145	1810	2529
146	1824	2519
147	1837	2507
148	1852	2499
149	1866	2488
150	1877	2474
151	1890	2462
152	1904	2452
153	1917	2440
154	1931	2430
155	1944	2417
156	1956	2405
157	1969	2393
158	1969	2393
159	1981	2367
160	1992	2353
161	2004	2340
162	2016	2327
163	2029	2316
164	2041	2302
165	2294	2559
166	2310	2546
167	2321	2530
168	2336	2516
169	2349	2501
170	2360	2485
171	2373	2470
172	2385	2454
173	2395	2437
174	2407	2420
175	2418	2404
176	2428	2387
177	2438	2370
178	2450	2354
179	2461	2337
180	2472	2321
181	2484	2306
182	2497	2291
183	2508	2275
184	2521	2260
185	2534	2246
186	2547	2232
187	2559	2217
188	2570	2201
189	2582	2186
190	2593	2170
191	2604	2154
192	2616	2139
193	2625	2122
194	2635	2106
195	2647	2090
196	2660	2076
197	2672	2061
198	2683	2046
199	2695	2031
200	2706	2016
201	2717	2001
202	2729	1986
203	2742	1972
204	2752	1956
205	2766	1943
206	2780	1929
207	2793	1916
208	2807	1903
209	2818	1887
210	2831	1874
211	2843	1859
212	2855	1845
213	2867	1830
214	2879	1816
215	2894	1804
216	2910	1791
217	2923	1778
218	2937	1765
219	2950	1751
220	2962	1737
221	2975	1723
222	2989	1709
223	3002	1696
224	3022	1686
225	3035	1673
226	3048	1658
227	3059	1644
228	3072	1630
229	3084	1616
230	3097	1602
231	3108	1588
232	3120	1573
233	3132	1559
234	3144	1545
235	3155	1530
236	3167	1516
237	3180	1503
238	3194	1489
239	3205	1475
240	3218	1461
241	3231	1448
242	3246	1435
243	3262	1422
244	3278	1410
245	3290	1396
246	3300	1382
247	3313	1368
248	3326	1354
249	3336	1339
250	3346	1325
251	3356	1310
252	3366	1295
253	3378	1282
254	3390	1268
255	3400	1253
256	3411	1239
257	3421	1224
258	3432	1210
259	3443	1196
260	3454	1182
261	3464	1168
262	3476	1154
263	3487	1140
264	3498	1126
265	3509	1112
266	3521	1098
267	3533	1085
268	3546	1071
269	3558	1058
270	3569	1044
271	3579	1030
272	3592	1016
273	3602	1002
274	3615	989
275	3626	975
276	3637	962
277	3649	948
278	3660	934
279	3672	921
280	3684	907
281	3696	894
282	3707	880
283	3718	867
284	3730	853
285	3743	840
286	3757	827
287	3768	814
288	3780	800
289	3792	787
290	3803	773
291	3813	760
292	3823	746
293	3836	733
294	3848	719
295	3859	706
296	3870	692
297	3881	679
298	3891	665
299	3902	652
300	3913	639
301	3926	626
302	3937	612
303	3948	599
304	3959	586
305	3969	572
306	3980	559
307	3992	546
308	4005	533
309	4017	520
310	4027	506
311	4039	493
312	4049	480
313	4062	467
314	4075	454
315	4087	441
316	4098	428
317	4110	414
318	4122	401
319	4133	388
320	4144	375
321	4155	362
322	4170	349
323	4181	336
324	4193	323
325	4205	310
326	4217	297
327	4228	284
328	4243	271
329	4257	258
330	4270	245
331	4282	232
332	4297	220
333	4311	207
334	4324	194
335	4337	181
336	4351	168
337	4362	155
338	4373	142
339	4387	129
340	4403	116
341	4415	103
342	4431	90
343	4446	77
344	4460	64
345	4475	51
346	4492	38
347	4507	25
348	4522	12
349	4534	0
