feature,churn_mean,non_churn_mean,ttest_p_value,mannwhitney_p_value,effect_size,adjusted_p,significant
total_interactions,9.862710818593172,11.723226690051334,2.0217867293600394e-187,1.3060517464886455e-240,-0.3095622241015744,3.9181552394659364e-240,True
interactions_14_days,2.5739407651172357,3.150200510390084,4.2313143823036123e-137,9.988360157239348e-190,-0.2546140741082717,2.3972064377374433e-189,True
pre_renewal_interactions,2.3461538461538463,2.023292705757161,1.644942885075043e-53,5.48458623550719e-26,0.15793667637911327,8.226879353260786e-26,True
last_moment_engagement_ratio,0.2303570563785875,0.2371273987376677,8.512275795879308e-05,3.276094457391225e-19,-0.04240488237373056,4.3681259431883e-19,True
complaints,0.987145207733443,0.6268437595451813,5.331920516803216e-71,9.544865059314942e-133,0.20527123427304697,1.9089730118629885e-132,True
negative_experience,2.4648292883587,1.5205387669842647,5.0406368080706893e-203,2.3266470604377352e-296,0.3526126765832633,9.306588241750941e-296,True
support_issues,1.189736733854381,0.9527741376082608,2.0406527819142095e-25,4.085332667777722e-38,0.11562381977314551,7.003427430476094e-38,True
financial_stress,1.1962155491567257,0.46317407454848214,4.2234884568250655e-271,0.0,0.43656809766705734,0.0,True
price_dissatisfaction,0.9407651172357054,0.8799795055719226,0.0031918939467494634,6.199175440467306e-11,0.031156699917799097,6.762736844146152e-11,True
avg_sentiment,41.00994960921432,50.540608691082625,0.0,0.0,-0.4849037162972692,0.0,True
agent_followups,6.445084327437269,6.938703924485915,1.2288171268413948e-11,8.976374332699497e-13,-0.07132194306623567,1.0771649199239396e-12,True
engagement_score,0.0,0.0,,1.0,0.0,1.0,False
