feature,churn_mean,non_churn_mean,ttest_p_value,mannwhitney_p_value,effect_size,adjusted_p,significant
total_calls,6.270339591669232,5.2257540687599215,2.732130223358191e-51,2.3022376803020822e-82,0.16387947706650965,6.331153620830726e-82,True
days_since_last_call,177.2437673130194,281.5757704286286,0.0,0.0,-0.5603386063769259,0.0,True
calls_last_7,0.14096645121575868,0.07017777723918128,2.6405893129236704e-36,1.4798416046210616e-78,0.15225317724447007,3.2556515301663356e-78,True
calls_last_14,0.3184569611162409,0.19669409469334334,1.2834357303540995e-37,3.6744267630144756e-58,0.1511930312386883,5.7740991990227474e-58,True
calls_last_30,0.6201908279470606,0.35349434675650454,2.3095366950989442e-58,1.0035501558106047e-85,0.1939578944889683,3.679683904638884e-85,True
serious_complaints,0.033035805888991486,0.015051079145408937,8.461223825719215e-08,8.931149159595252e-21,0.06755811120582939,1.091584897283864e-20,True
switch_intent,0.001333743716015184,0.0011270131727238576,0.6046252691298314,0.056604112703289744,0.005160842635830575,0.056604112703289744,False
cancel_intent,0.7669026367087309,0.18046752869036223,0.0,0.0,0.5673428307461759,0.0,True
price_discussions,0.30409356725146197,0.2624971218749621,2.809275099127771e-06,2.6796798892639927e-16,0.05105258381145285,2.947647878190392e-16,True
discount_requests,0.1220888478506207,0.0904761327694228,3.598341883242292e-08,4.612965873151618e-22,0.06227096128420366,6.342828075583475e-22,True
recent_call_ratio,0.019334766612403784,0.010059264606831712,1.0218822870443285e-31,3.841941613005892e-77,0.14111079977908667,7.043559623844135e-77,True
